mode,N,block,reps,real_time_s,cycles,instructions,L1_dcache_load_misses,LLC_load_misses
ijk,128,0,1,0.00559906,96855709,107066563,2886536,15112
ijk,128,0,1,0.00587126,101800597,112247708,3002063,13091
ijk,128,0,1,0.00590374,98979973,110139020,2870062,12837
ikj,128,0,1,0.00117548,48842975,57544096,554301,11623
ikj,128,0,1,0.00131592,49282229,58030973,555340,12398
ikj,128,0,1,0.00119125,48917442,57850050,548399,11797
jik,128,0,1,0.00626364,103047302,113791847,3059892,11808
jik,128,0,1,0.00563945,96223463,107015741,3145540,12301
jik,128,0,1,0.00565985,95187235,105760490,3126363,12159
jki,128,0,1,0.0103078,135160596,144599565,4925817,16028
jki,128,0,1,0.00983632,143034646,151119262,4881878,14376
jki,128,0,1,0.00967436,143708099,151448863,4904490,17208
kij,128,0,1,0.00124566,49167250,58215241,560421,11561
kij,128,0,1,0.00121379,48884383,57847081,560591,10767
kij,128,0,1,0.0012403,49091548,58086859,556412,10960
kji,128,0,1,0.00964003,142461992,151008504,4916634,12739
kji,128,0,1,0.00955082,141146091,149271321,4914907,13386
kji,128,0,1,0.00971553,141942108,150209361,4906267,13367
block,128,2,1,0.0186593,244023574,292587657,1049828,14177
block,128,2,1,0.0197636,244540940,292387052,1051167,15665
block,128,2,1,0.0191371,249011581,296666245,1029387,14312
block,128,4,1,0.0119829,176765094,202934258,591214,19044
block,128,4,1,0.00705666,111797509,137344954,543195,12599
block,128,4,1,0.00711836,114414149,139543421,541048,12720
block,128,16,1,0.00245723,63005394,75969452,357378,13162
block,128,16,1,0.00252299,62105794,74961488,359810,13525
block,128,16,1,0.00245421,63657204,76754694,351312,12438
block,128,64,1,0.00326109,65189166,78772068,600071,12336
block,128,64,1,0.00138843,51488895,60037386,600355,13803
block,128,64,1,0.0014233,51037956,60363741,582225,11198
strassen,128,0,1,0.00405328,71879080,86246055,378947,12929
strassen,128,0,1,0.00207413,57771779,66953533,378364,12166
strassen,128,0,1,0.00225732,59789247,68886346,386309,13361
blas,128,0,1,0.00035036,41808613,48533538,354393,14621
blas,128,0,1,0.000416944,39584662,47145263,340792,11486
blas,128,0,1,0.000423575,39363442,47290500,341674,11176
ijk,512,0,1,0.289809,2711407765,2632355601,136724438,114252
ijk,512,0,1,0.332703,2709747206,2633210725,136935102,145330
ijk,512,0,1,0.33869,2472628271,2426552896,136737759,338245
ikj,512,0,1,0.0672926,1109779852,1171387458,18527268,42879
ikj,512,0,1,0.114712,1798305566,2004793951,18540352,57909
ikj,512,0,1,0.06841,1103654787,1168521637,18344424,45489
jik,512,0,1,0.393832,2489607326,2362129582,153371776,237803
jik,512,0,1,0.303035,2831158708,2711421416,153094027,95840
jik,512,0,1,0.430764,2864809559,2681386611,152951823,866529
jki,512,0,1,0.715686,3999991546,2875131987,380075002,301088
jki,512,0,1,0.717129,4097076022,2967713869,375565783,333724
jki,512,0,1,0.709196,4076722232,2965587568,376982522,271112
kij,512,0,1,0.0862691,1298831718,1352894071,18915888,98465
kij,512,0,1,0.0864228,1341163672,1393989191,18852733,103797
kij,512,0,1,0.0782104,1260503603,1310279177,18720183,95824
kji,512,0,1,0.755538,4115865281,2991721914,378627612,678596
kji,512,0,1,0.725527,4145573526,3030617238,375782511,245398
kji,512,0,1,0.713675,4078012423,2972551564,373127997,119011
block,512,2,1,0.499112,3303374501,6267832807,66679001,41924
block,512,2,1,0.53002,3446643993,6396309443,66956093,40531
block,512,2,1,0.503705,3378036552,6345531532,66564059,40927
