BlockID,long,lat
1.4.203-1,,
1.4.203-1,-71.5820408962821,-16.3379123249928
1.4.203-1,-71.5822008436544,-16.3380785368128
1.4.203-1,-71.5820985665477,-16.3382037978419
1.4.203-1,-71.5819275936221,-16.3382350284316
1.4.203-1,-71.5818175801522,-16.3381462955121
1.4.203-1,-71.5820408962821,-16.3379123249928
1.4.203-10,,
1.4.203-10,-71.578489921748,-16.3329025601256
1.4.203-10,-71.5793554076306,-16.3339988303388
1.4.203-10,-71.579120954705,-16.3341578521669
1.4.203-10,-71.5783211934777,-16.3330466177692
1.4.203-10,-71.578489921748,-16.3329025601256
1.4.203-11,,
1.4.203-11,-71.5805016764343,-16.3355071705183
1.4.203-11,-71.5802277478251,-16.3356689033369
1.4.203-11,-71.5791551145634,-16.3341961156623
1.4.203-11,-71.5794217009394,-16.3340110861967
1.4.203-11,-71.5805016764343,-16.3355071705183
1.4.203-12,,
1.4.203-12,-71.5815948378638,-16.3371459066811
1.4.203-12,-71.5814297403812,-16.3372369022386
1.4.203-12,-71.5805118301596,-16.3360664058344
1.4.203-12,-71.580733547933,-16.3359136979189
1.4.203-12,-71.5815948378638,-16.3371459066811
1.4.203-2,,
1.4.203-2,-71.5818893006707,-16.3378955704151
1.4.203-2,-71.5817745370509,-16.3380138251564
1.4.203-2,-71.5799533829333,-16.3361054432159
1.4.203-2,-71.580264723045,-16.3358879114079
1.4.203-2,-71.5810248560973,-16.3369043293754
1.4.203-2,-71.5818893006707,-16.3378955704151
1.4.203-3,,
1.4.203-3,-71.5802218203439,-16.335870446856
1.4.203-3,-71.5799250011983,-16.3360453666066
1.4.203-3,-71.5788535967584,-16.3349032907721
1.4.203-3,-71.579265338707,-16.3345766993789
1.4.203-3,-71.5802218203439,-16.335870446856
1.4.203-4,,
1.4.203-4,-71.5792705030285,-16.33450679529
1.4.203-4,-71.5788090746278,-16.3348538842632
1.4.203-4,-71.5785906424973,-16.3346209323695
1.4.203-4,-71.579078589767,-16.3342625065299
1.4.203-4,-71.5792705030285,-16.33450679529
1.4.203-5,,
1.4.203-5,-71.5788508511287,-16.3339800376056
1.4.203-5,-71.5790417151836,-16.3342150848908
1.4.203-5,-71.5785348313105,-16.3345746267946
1.4.203-5,-71.5783020204428,-16.3343314391607
1.4.203-5,-71.5788508511287,-16.3339800376056
1.4.203-6,,
1.4.203-6,-71.5786397156551,-16.3336744962103
1.4.203-6,-71.5788049587274,-16.3339367118551
1.4.203-6,-71.5782715041089,-16.3342935910844
1.4.203-6,-71.5780596861262,-16.334081960554
1.4.203-6,-71.5786397156551,-16.3336744962103
1.4.203-7,,
1.4.203-7,-71.5784087263929,-16.3333848593467
1.4.203-7,-71.5785910233726,-16.3336365564957
1.4.203-7,-71.5780193213977,-16.3340323535432
1.4.203-7,-71.5778080126067,-16.3338059902984
1.4.203-7,-71.5784087263929,-16.3333848593467
1.4.203-8,,
1.4.203-8,-71.5781867701977,-16.3334726019522
1.4.203-8,-71.5777658820957,-16.333754902083
1.4.203-8,-71.577336563834,-16.3332852448472
1.4.203-8,-71.5776606571046,-16.3330857238022
1.4.203-8,-71.5781867701977,-16.3334726019522
1.4.203-9,,
1.4.203-9,-71.5782855107476,-16.333112857163
1.4.203-9,-71.5783593712652,-16.333330211767
1.4.203-9,-71.5782181031155,-16.3334485514843
1.4.203-9,-71.5777133634432,-16.33302929427
1.4.203-9,-71.5779233289289,-16.3327993299979
1.4.203-9,-71.5782855107476,-16.333112857163
1.4.218-1,,
1.4.218-1,-71.568762047216,-16.3229935113721
1.4.218-1,-71.5686386483178,-16.3230246089839
1.4.218-1,-71.5682400570717,-16.3224816942018
1.4.218-1,-71.5677485346672,-16.3216576219486
1.4.218-1,-71.5678886612676,-16.3215839684433
1.4.218-1,-71.568762047216,-16.3229935113721
1.4.218-2,,
1.4.218-2,-71.5687242901431,-16.3228362896281
1.4.218-2,-71.5689374381702,-16.3227239083084
1.4.218-2,-71.5694039548597,-16.3234627201006
1.4.218-2,-71.5692694535767,-16.3234954523679
1.4.218-2,-71.5690693701995,-16.3233388966744
1.4.218-2,-71.5687242901431,-16.3228362896281
1.4.218-3,,
1.4.218-3,-71.5686936510878,-16.3227907057875
1.4.218-3,-71.5684318219786,-16.3223660344241
1.4.218-3,-71.5686462516609,-16.3222491993501
1.4.218-3,-71.5689046451423,-16.322673537022
1.4.218-3,-71.5686936510878,-16.3227907057875
1.4.218-4,,
1.4.218-4,-71.5683983718909,-16.3223240359426
1.4.218-4,-71.5679470588469,-16.3215811910877
1.4.218-4,-71.56823114794,-16.3215421310504
1.4.218-4,-71.5686181470736,-16.3222049082498
1.4.218-4,-71.5683983718909,-16.3223240359426
1.4.218-5,,
1.4.218-5,-71.568563554805,-16.3215122968645
1.4.218-5,-71.5695687591505,-16.3231645182321
1.4.218-5,-71.5696792495686,-16.3233336038523
1.4.218-5,-71.5698323445744,-16.3235533261552
1.4.218-5,-71.5696059648039,-16.3236397997474
1.4.218-5,-71.5693912997265,-16.3233358716376
1.4.218-5,-71.5691447635796,-16.3229489070459
1.4.218-5,-71.5688384060687,-16.3224569798404
1.4.218-5,-71.5683155339622,-16.3215600041511
1.4.218-5,-71.568563554805,-16.3215122968645
1.4.219-1,,
1.4.219-1,-71.5677216019427,-16.3231775239888
1.4.219-1,-71.5673116098218,-16.3231703440618
1.4.219-1,-71.5673192915001,-16.3218835008343
1.4.219-1,-71.5675271538046,-16.3219491148806
1.4.219-1,-71.5677220330416,-16.3221636582964
1.4.219-1,-71.5677216019427,-16.3231775239888
1.4.219-2,,
1.4.219-2,-71.5673081099151,-16.323602835517
1.4.219-2,-71.5673033634936,-16.3232301373332
1.4.219-2,-71.5680222866305,-16.3232388731459
1.4.219-2,-71.5680205628046,-16.3236287759272
1.4.219-2,-71.5673081099151,-16.323602835517
